uts0_69,-79.79324443,36.07458565,subtransmission,subtransmission
uts1_69,-79.81873056,36.03150317,subtransmission,subtransmission
uts2_69,-79.84318246,36.10347665,subtransmission,subtransmission
uts3_69,-79.8735205,36.08335465,subtransmission,subtransmission
uts4_69,-79.76174533,36.09049161,subtransmission,subtransmission
st_mat-uts0_69x,-79.82649151,36.13769727,subtransmission,subtransmission
st_mat-uts0_69xx,-79.79321789,36.07454316,subtransmission,subtransmission
st_mat-uts1_69x,-79.826402,36.13773866,subtransmission,subtransmission
st_mat-uts1_69xx,-79.81878279,36.0315247,subtransmission,subtransmission
st_mat-uts2_69x,-79.82646187,36.13765501,subtransmission,subtransmission
st_mat-uts2_69xx,-79.8431342,36.10350187,subtransmission,subtransmission
st_mat-uts3_69x,-79.82646127,36.1377389,subtransmission,subtransmission
st_mat-uts3_69xx,-79.87357278,36.08337616,subtransmission,subtransmission
st_mat-uts4_69x,-79.82640187,36.13765503,subtransmission,subtransmission
st_mat-uts4_69xx,-79.76169299,36.0904725,subtransmission,subtransmission
uhs4_69-uts0_69xx,-79.7932857,36.07455182,subtransmission,subtransmission
uhs4_69-uts0_69x,-79.79340204,36.07129285,subtransmission,subtransmission
uhs4_69-uts0_69x_px_p,-79.79323478,36.07463258,subtransmission,subtransmission
uhs4_69-uts0_69x_p,-79.79344356,36.07132014,subtransmission,subtransmission
uhs10_69-uts4_69xx,-79.76172169,36.09053401,subtransmission,subtransmission
uhs10_69-uts4_69x,-79.75755666,36.07854101,subtransmission,subtransmission
uhs10_69-uts4_69x_px_p,-79.7617978,36.09051035,subtransmission,subtransmission
uhs10_69-uts4_69x_p,-79.75748566,36.07861356,subtransmission,subtransmission
uhs18_69-uts3_69xx,-79.87346248,36.08336167,subtransmission,subtransmission
uhs18_69-uts3_69x,-79.86356449,36.07025653,subtransmission,subtransmission
uhs18_69-uts3_69x_px_p,-79.87356174,36.08332079,subtransmission,subtransmission
uhs18_69-uts3_69x_p,-79.86361602,36.07029423,subtransmission,subtransmission
uhs15_69-uhs5_69xx,-79.85887873,36.03190865,subtransmission,subtransmission
uhs15_69-uhs5_69x,-79.89474657,36.0532099,subtransmission,subtransmission
uhs20_69-uts2_69xx,-79.8432131,36.10351602,subtransmission,subtransmission
uhs20_69-uts2_69x,-79.86699019,36.12538772,subtransmission,subtransmission
uhs7_69-uts1_69xx,-79.8187718,36.03146933,subtransmission,subtransmission
uhs7_69-uts1_69x,-79.82024878,36.0497599,subtransmission,subtransmission
uhs20_69-uhs8_69xx,-79.89040559,36.10451983,subtransmission,subtransmission
uhs20_69-uhs8_69x,-79.86704658,36.12544493,subtransmission,subtransmission
uhs19_69-uts1_69xx,-79.81872094,36.0315501,subtransmission,subtransmission
